	Amazon CodeGuru	Amazon Comprehend	Amazon Fraud Detector	Amazon Kendra	Amazon Lex	Amazon Personalize	Amazon Recognition	Amazon Textract	Amazon Transcribe	Amazon Translate	Amazon SageMaker	Amazon SageMaker Ground Truth	Amazon Augmented AI	Container di deep learning AWS
Cos'è il profilatore amazon codeguru?	Il profilatore CodeGuru aiuta gli sviluppatori e gli operatori IT a comprendere in modo semplice il comportamento in runtime delle proprie applicazioni, a migliorare le prestazioni e a diminuire i costi di elaborazione. Il profilatore Amazon CodeGuru analizza il profilo di runtime dell'applicazione e fornisce suggerimenti intelligenti e visualizzazioni che guidano gli sviluppatori al miglioramento delle prestazioni delle parti più pertinenti del codice.													
Cos'è un gruppo di profiling?	Un gruppo di profiling è un raggruppamento logico creato da te. Rappresenta i limiti di un'applicazione. Ad esempio, in un'architettura di microservizi, un gruppo di profiling aggrega i profili dei microservizi assegnati e ne produce un profilo unico.													
Il codice comprende già un servizio completo di registrazione. occorre comunque effettuare la profilatura?	Registrare il tempo di esecuzione funziona solo in un numero limitato di casi perché la registrazione è solo in grado di monitorare la latenza (non l'utilizzo della CPU) e implementarlo richiede molto tempo perché gli sviluppatori devono registrare ogni funzione in un'applicazione (senza alcun impatto sulle prestazioni dell'applicazione), rimanendo senza gli strumenti necessari per monitorare ed eseguire efficacemente la risoluzione dei problemi di applicazioni in produzione. Ecco dove entra in gioco il profiling: il profilatore CodeGuru è stato progettato per raccogliere i dati su qualsiasi evento che si verifica nel comportamento dell'applicazione, indipendentemente dalla situazione. Il profilatore CodeGuru utilizza una knowledge base di inefficienze di prestazione riscontrate più di frequente al fine di rilevare automaticamente le sequenze di codice nell'applicazione attiva che compromettono le prestazioni. Dunque, gli sviluppatori possono seguire i suggerimenti forniti per risolvere i problemi riscontrati.													
In che modo codeguru profiler differisce dalle apm tradizionali e dai sistemi di profiling standalone?	Le APM tradizionali forniscono dati utili sul monitoraggio, sul tracciamento e sulle prestazioni delle applicazioni. Il profilatore CodeGuru integra queste funzionalità APM offrendo visualizzazioni dei dati di runtime dell'applicazione e suggerimenti eseguibili per i problemi di prestazione riscontrati. Utilizza inoltre il machine learning per rilevare e avvisare riguardo ad anomalie nel profilo dell'applicazione, indicando le righe di codice anomale. Il profilatore CodeGuru consente di individuare facilmente le parti di codice che offrono le migliori opportunità di ottimizzazione delle prestazioni, nonché potenziali risparmi e consente di ricevere indicazioni su come procedere senza dover contare su competenze specializzate in ambito tecnico. Il profilatore Amazon CodeGuru esegue il profiling delle istanze EC2, dei container e delle piattaforme di calcolo serverless inclusa AWS Lambda anche on-premise. Inoltre, alcuni sistemi di profiling standalone sono progettati per essere eseguiti solo in ambienti di test, mentre il profilatore CodeGuru è un servizio progettato per l'esecuzione continua in produzione, con i relativi carichi di traffico e senza interferire con l'applicazione. Si tratta di un aspetto utile durante la fase di risoluzione dei problemi operativi in produzione, anche in caso di esecuzione su host bare metal.													
Quali tipi di applicazione posso profilare?	Il profilatore CodeGuru funziona con le applicazioni ospitate da Amazon EC2, le applicazioni in container eseguite su Amazon ECS e Amazon EKS, nonché le applicazioni serverless in esecuzione su AWS Fargate e AWS Lambda. Inoltre, puoi eseguire il profilatore CodeGuru on-premise.													
In che modo il profilatore codeguru influisce sulle prestazioni delle applicazioni ospitate da aws lambda?	L'agente del profilatore CodeGuru utilizza le risorse (CPU, memoria) allocate alle funzioni di AWS Lambda. È stato messo a punto per avere un impatto minimo sulle prestazioni dell'applicazione mentre viene eseguito in quanto thread in elaborazione. Se l'applicazione consuma la maggior parte delle risorse nella funzione AWS Lambda, considera l'aumento delle risorse per abilitare il funzionamento adeguato dell'agente.													
Come funziona il profilatore codeguru?	Il profilatore CodeGuru è composto da tre parti: un agente, il servizio di profiling e i suggerimenti intelligenti. L'agente si avvia con l'applicazione sulla riga di comando e si esegue in forma di thread in elaborazione come parte dell'applicazione. Raccoglie dati da ognuna delle istanze del servizio in cui l'agente è in esecuzione e li invia ogni cinque minuti al servizio di profiling, dove vengono aggregati. A questo punto, il profilatore CodeGuru pubblica i dati sul profilo in grafici a fiamma interattivi che ti consentono di visualizzare le prestazioni della tua applicazione. Inoltre, il profilatore CodeGuru analizza costantemente i dati soggetti a profiling e li confronta rispetto alle best practice di Amazon e di performance engineering. Inoltre, il servizio invia suggerimenti intelligenti se vengono rilevati problemi relativi alle prestazioni. Inoltre, utilizza il machine learning per analizzare continuamente i dati del runtime dell'applicazione e segnala quando rileva anomalie nel profilo dell'applicazione e indica le righe di codice anomale.													
Quali sono le risorse profilate dal profilatore codeguru e quali sono i linguaggi supportati?	Il profilatore CodeGuru profila CPU (CPU attiva e tempo reale) e memoria (riepilogo dell'heap) per Java e altri linguaggi JVM e CPU (tempo reale) per le applicazioni Python.													
Posso ottenere informazioni su cpu e memoria dalla stessa applicazione?	Sì, una volta abilitata la profilazione della memoria e la avvii, CodeGuru Profiler raccoglierà le informazioni sia sulla memoria sia sulla CPU per l'applicazione. È necessario solo un gruppo di profiling per ottenere dati della CPU e della memoria di un'applicazione specifica.													
Quali informazioni sulla profilazione della memoria fornisce il profilatore codeguru?	Il profilatore CodeGuru offre informazioni sul riepilogo dell'heap. Il riepilogo dell'heap fornisce una vista consolidata dell'utilizzo della memoria per tipo di oggetto (ad esempio, String, int, char[]) e tipi personalizzati, in un determinato arco di tempo (in genere 5 minuti). Il profilatore CodeGuru tiene traccia sia delle dimensioni totali degli oggetti che del loro numero. Questi parametri vengono presentati in un grafico cronologico, in modo da poter individuare facilmente tendenze e picchi dell'utilizzo della memoria per tipo di oggetto.													
Come posso utilizzare le informazioni sul riepilogo dell'heap?	Il riepilogo dell'heap è utile in due scenari. Nel primo, puoi individuare potenziali perdite di memoria. Una curva di utilizzo della memoria in costante crescita per uno o più tipi di oggetti può indicare una perdita, con possibili conseguenti errori di memoria e arresti dell'applicazione. Nel secondo scenario è necessario ottimizzare la capacità della memoria dell'applicazione. In questo caso la suddivisione dell'utilizzo della memoria per tipo di oggetto ti aiuterà a sapere dove focalizzare l'attenzione. Ad esempio, sapendo che un'elevata quantità di memoria imprevista è stata associata a un tipo di oggetto specifico, puoi focalizzare l'analisi e le attività di ottimizzazione sulle parti dell'applicazione responsabili dell'allocazione degli oggetti di quel tipo e cui fanno riferimento.													
Che cos'è l'elaborazione del linguaggio naturale?		L'elaborazione del linguaggio naturale (NLP, Natural Language Processing) è il processo attraverso il quale i computer analizzano, comprendono e derivano significato da informazioni testuali in modo utile e intelligente. Utilizzando l'elaborazione del linguaggio naturale, è possibile estrarre frasi chiave, emozioni, sintassi, entità chiave, data, luogo, persone e così via, insieme alla lingua del testo.												
Che cos'è amazon comprehend?		Amazon Comprehend è un servizio di elaborazione del linguaggio naturale (NLP) che usa l'apprendimento automatico per trovare significato e informazioni nel testo.												
Che cosa è possibile fare con amazon comprehend?		Puoi usare Amazon Comprehend per identificare la lingua del testo, estrarre frasi chiave, luoghi, persone, marchi o eventi, determinare le emozioni verso prodotti o servizi e identificare gli argomenti principali da una raccolta di documenti. L'origine del testo può essere costituita da pagine Web, feed di social media, e-mail o articoli. Puoi anche inserire in Amazon Comprehend un insieme di documenti di testo, perché il servizio identifichi gli argomenti (o gruppi di parole) che rappresentano al meglio le informazioni nella raccolta. L'output di Amazon Comprehend può essere utilizzato per analizzare il feedback dei clienti, offrire un'esperienza di ricerca migliore tramite filtri di ricerca e usare argomenti per classificare i documenti.												
Come si inizia a usare amazon comprehend?		Puoi iniziare a usare Amazon Comprehend dalla console AWS. Il piano gratuito di 12 mesi inizia dal momento in cui invii la prima richiesta. Consulta la documentazione del prodotto per informazioni su come utilizzare le API di Amazon Comprehend nell'applicazione.												
Quali sono i casi d'uso più comuni per amazon comprehend?		Tra i casi d'uso più comuni sono inclusi i seguenti: Analisi della voce dei clienti: puoi determinare se le emozioni dei clienti sono positive, neutre, negative o miste in base al feedback ricevuto tramite chiamate di assistenza, e-mail, social media e altri canali online. Ricerca semantica: puoi usare Amazon Comprehend per offrire una migliore esperienza di ricerca permettendo al motore di ricerca di indicizzare frasi chiave, entità ed emozioni. In questo modo, sarà possibile concentrare la ricerca su intento e contesto degli articoli invece che sulle parole chiave. Gestione e individuazione delle informazioni: puoi analizzare una raccolta di documenti e organizzarli automaticamente in base all’argomento. Potrai quindi usare gli argomenti per personalizzare i contenuti per i clienti.												
È necessario essere esperti in elaborazione del linguaggio naturale per usare amazon comprehend?		No, non devi avere un'esperienza specifica nell'elaborazione del linguaggio naturale per usare Amazon Comprehend. Potrai semplicemente chiamare l'API di Amazon Comprehend e il servizio gestirà l'apprendimento automatico necessario per estrarre i dati pertinenti dal testo.												
Amazon comprehend è un servizio gestito?		Amazon Comprehend è un servizio completamente gestito e continuamente ottimizzato grazie al quale puoi evitare di occuparti del dimensionamento delle risorse o della manutenzione del codice e dei dati di training.												
Amazon comprehend è in grado di apprendere nel tempo?		Sì, Amazon Comprehend usa l'apprendimento automatico e viene continuamente ottimizzato per i casi d'uso.												
In quali regioni aws è disponibile amazon comprehend?		Per un elenco delle regioni AWS supportate da Amazon Comprehend, consulta la tabella delle regioni AWS per l'infrastruttura globale AWS. Per ulteriori informazioni, consulta inoltre la pagina Regioni ed endpoint nel documento AWS General Reference.												
Quali misure di sicurezza vengono applicate in amazon comprehend?		Le richieste alla console e all'API Amazon Comprehend vengono effettuate tramite una connessione sicura (SSL). Puoi utilizzare AWS Identity and Access Management (AWS IAM) per definire gli utenti IAM autorizzati ad accedere a operazioni e risorse Amazon Comprehend specifiche.												
Dove vengono memorizzati i dati?		Puoi usare Amazon Comprehend per leggere i dati da Amazon S3. Puoi anche scrivere i risultati di Amazon Comprehend in un servizio, un database o un data warehouse di storage.												
Come si determina se il servizio è in grado di elaborare i dati?		Per le API di analisi del testo, riceverai un codice di stato HTTP 200 che indica la corretta elaborazione. Se i dati non possono essere elaborati o superano i limiti del servizio, riceverai il codice di errore HTTP corrispondente.												
Come si determina se amazon comprehend restituisce risultati accurati?		Il servizio restituisce un punteggio di affidabilità per ogni risultato. Punteggi di affidabilità inferiori indicano che l'affidabilità del servizio è bassa per quanto riguarda la correttezza dei risultati. Al contrario, se il servizio è altamente affidabile, il punteggio sarà più vicino a 1.												
È possibile importare o utilizzare un modello di elaborazione del linguaggio naturale personalizzato con amazon comprehend?		No. Attualmente Comprehend non supporta modelli personalizzati.												
Quali sono i prezzi di amazon comprehend?		Per informazioni sulle fasce di prezzo e sugli sconti, consulta la pagina dei prezzi di Amazon Comprehend.												
Gli input di testo elaborati da amazon comprehend vengono memorizzati?		In che modo vengono utilizzati da AWS? Amazon Comprehend può memorizzare e utilizzare gli input di testo elaborati dal servizio esclusivamente per erogare e gestire il servizio e per sviluppare e migliorare la qualità di Amazon Comprehend e di altre tecnologie di intelligenza artificiale e di machine learning di Amazon. Questo non si applica ad Amazon Comprehend Medical. L'utilizzo dei contenuti è importante nell'ottica del costante miglioramento dell'esperienza utente di Amazon Comprehend, nonché per lo sviluppo e l'ottimizzazione di tecnologie correlate. Non usiamo alcun dato di identificazione personale eventualmente presente nei tuoi contenuti per proporre prodotti, servizi o attività marketing a te o ai tuoi utenti finali. La tua fiducia, la tua privacy e la sicurezza dei tuoi contenuti rappresentano la nostra massima priorità. Implementiamo controlli adeguati e sofisticati, a livello tecnico e fisico, tra cui la crittografia sia in condizioni statiche che durante i trasferimenti, per impedire gli accessi non autorizzati e la divulgazione dei contenuti e per garantire che l'utilizzo da parte nostra sia conforme ai nostri impegni nei tuoi confronti. Per ulteriori informazioni consulta la pagina https://aws.amazon.com/compliance/data-privacy-faq/. Puoi scegliere di non utilizzare i contenuti per migliorare e sviluppare la qualità di Amazon Comprehend e di altre tecnologie di machine learning e intelligenza artificiale di Amazon, utilizzando una policy di esclusione di AWS Organizations. Per ulteriori informazioni su come rifiutare, consulta Gestione della policy di esclusione dei servizi di AI												
Chi ha accesso ai contenuti elaborati e memorizzati da amazon comprehend?		Solo i dipendenti autorizzati potranno accedere ai contenuti elaborati da Amazon Comprehend. La tua fiducia, la tua privacy e la sicurezza dei tuoi contenuti rappresentano la nostra massima priorità. Implementiamo controlli adeguati e avanzati, a livello tecnico e fisico, tra cui la crittografia sia in condizioni statiche che durante i trasferimenti, per impedire gli accessi non autorizzati e la divulgazione dei contenuti e garantire che l'utilizzo da parte nostra sia conforme ai nostri impegni nei tuoi confronti. Per maggiori informazioni, consulta le domande frequenti sulla privacy dei dati AWS.												
I contenuti elaborati e memorizzati da amazon comprehend restano di mia proprietà?		Conservi sempre la proprietà dei tuoi contenuti. Li utilizzeremo solo con il tuo consenso.												
I contenuti elaborati da amazon comprehend vengono trasferiti all'esterno della regione aws in cui viene utilizzato il servizio?		I contenuti elaborati da Amazon Comprehend vengono crittografati e memorizzati su disco nella regione AWS in cui utilizzi il servizio. Alcune parti dei contenuti elaborati da Amazon Comprehend potrebbero essere memorizzate in un'altra regione AWS esclusivamente nell'ottica del miglioramento e dello sviluppo costanti dell'esperienza utente di Amazon Comprehend e di altre tecnologie di intelligenza artificiale e apprendimento automatico. Questo non si applica ad Amazon Comprehend Medical. La tua fiducia, la tua privacy e la sicurezza dei tuoi contenuti rappresentano la nostra massima priorità. Implementiamo controlli adeguati e avanzati, a livello tecnico e fisico, tra cui la crittografia sia in condizioni statiche che durante i trasferimenti, per impedire gli accessi non autorizzati e la divulgazione dei contenuti e garantire che l'utilizzo da parte nostra sia conforme ai nostri impegni nei tuoi confronti. Per ulteriori informazioni, consulta la pagina https://aws.amazon.com/compliance/data-privacy-faq/.												
È possibile utilizzare amazon comprehend in relazione a siti web, programmi o altre applicazioni rivolti o destinati a minori di 13 anni e soggetti alle norme previste dal children's online privacy protection act (coppa)?		Sì; in conformità ai Termini del servizio Amazon Comprehend, nonché all'obbligo di fornire il necessario preavviso e ottenere l'eventuale consenso dei genitori secondo quanto prescritto dal COPPA, potrai utilizzare il servizio in relazione a siti Web, programmi o altre applicazioni rivolti o destinati, del tutto o in parte, a minori di 13 anni.												
In che modo è possibile determinare se un sito web, un'applicazione o un programma è soggetto ai termini del coppa?		Per ottenere informazioni sui requisiti del COPPA e sulle linee guida su come determinare se un sito Web, programma o applicazione è soggetta al COPPA, consulta direttamente le risorse fornite dalla United States Federal Trade Commission. Il sito offre informazioni su come determinare se un servizio è rivolto o destinato, del tutto o in parte, ai minori di 13 anni.												
Cosa è amazon fraud detector?			Amazon Fraud Detector è un servizio completamente gestito che facilita l'identificazione di potenziali attività fraudolente online come la frode dei pagamenti online e la creazione di account falsi. Amazon Fraud Detector utilizza il machine learning (ML) e 20 anni di competenza nel rilevamento delle frodi di Amazon Web Services (AWS) ed Amazon.com per identificare automaticamente attività potenzialmente fraudolente nell'arco di millisecondi. Con Amazon Fraud Detector, non sono previsti pagamenti anticipati o impegni di lungo termine né infrastrutture da gestire. Si paga solo per l'utilizzo effettivo.											
Come funziona amazon fraud detector?			"In primo luogo, dovrai specificare l'evento che vuoi analizzare a fronte di un sospetto di frode. Fatto ciò, dovrai caricare il tuo set di dati di cronologia su Amazon Simple Storage Service (Amazon S3) e selezionare il modello di rilevamento frodi, che specifica una combinazione di caratteristiche e algoritmi ottimizzati per rilevare una precisa tipologia di frode. Il servizio quindi addestrerà, testerà ed implementerà automaticamente un modello di rilevamento frodi personalizzato basato sulle tue informazioni specifiche. Durante questo processo, puoi incrementare la performance del tuo modello con una serie di modelli preaddestrati con schemi basati sull'esperienza di AWS e Amazon relativa alle frodi. Il risultato del modello è una previsione in punteggio da 0 a 1.000 che prevede la probabilità di rischio di frode. Durante la fase finale del processo, è necessario impostare una logica decisionale (per es. regole) per interpretare il punteggio del modello e assegnare i risultati come ""superato"" oppure ""invia transazione a un investigatore umano per una revisione"". Una volta creato questa framework, sarà possibile integrare l'API Amazon Fraud Detector nelle funzioni transazionali del proprio sito web, come la registrazione di account oppure i pagamenti di un ordine. Amazon Fraud Detector processerà queste attività in tempo reale e fornirà previsioni di frodi nell'arco di qualche millisecondo per consentirti di calibrare la tua esperienza di utente finale."											
Quali casi d'uso specifici sono supportati da amazon fraud detector?			Amazon Fraud Detector è progettato per i casi d'uso di frodi online che richiedono modellazione ML in tempo reale e valutazione basata su regole. Ad esempio:											
Posso personalizzare la configurazione di amazon fraud detector per il mio caso d'uso?			"Sì. Sì, è possibile personalizzare Amazon Fraud Detector per ciascun caso d'uso tramite modelli di Amazon Fraud Detector ML, modelli Amazon SageMaker e regole. Prima di tutto, raccogli tutti i dati di rischio rilevanti da usare come input di valutazione di frode. Questi comprendono indirizzi email, numeri di telefono ed indirizzi IP. Questi dati vengono immagazzinati in un modello ML, il quale produce un punteggio. Infine, puoi utilizzare regole di rilevamento per interpretare il punteggio e altri dati di rischio per prendere decisioni, come approvare o inviare l'ordine ad analisti di frode per un'investigazione ulteriore. Un esempio di una regola semplice e un risultato corrispondente potrebbero essere: “IF model_score < 50 & credit_card_country = US THEN approve_order” (""Se punteggio_modello < 50 & carta_dicredito_paese = USA ALLORA approva_ordine”)."											
Come posso attingere ai dati e all'esperienza di amazon nell'ambito di rilevamento frodi tramite amazon fraud detector?			Con 20 anni di esperienze nell'ambito frodi, Amazon ha avuto modo di vedere direttamente il comportamento di utenti malintenzionati e le diverse modalità utilizzate per commettere frodi online. Amazon Fraud Detector consente di accedere a queste conoscenze. Durante il processo automatizzato di formazione del modello, Amazon Fraud Detector usa una serie di modelli addestrati su motivi dall'esperienza di AWS e Amazon nell'ambito frode per aumentare le prestazioni del modello.											
In che modo amazon fraud detector utilizza il ml per migliorare il mio rilevamento frodi?			Amazon Fraud Detector forma, testa e distribuisce modelli di machine learning per il rilevamento frodi personalizzato sulla base della cronologia dei tuoi dati di frode, e non è necessario avere esperienza con ML. Per sviluppatori con più esperienza nel machine learning, è possibile aggiungere i propri modelli ad Amazon Fraud Detector tramite Amazon SageMaker.											
Come configuro le regole di rilevamento frodi con amazon fraud detector?			"Con Amazon Fraud Detector è possibile eseguire previsioni di frode basate su regole con e senza l'utilizzo di machine learning. Amazon Fraud Detector permette di creare regole di rilevamento (per es. ""IF model_score < 50 & credit_card_country = US THEN approve_order” (""SE punteggio_modello < 50 & carta_dicredito_paese = USA ALLORA approva_ordine”) tramite un linguaggio basato sulla scrittura semplice di regole. È inoltre possibile specificare l'ordine di attivazione delle regole durante una valutazione tramite un'interfaccia intuitiva."											
Il mio team può vedere le valutazioni di frodi tramite amazon fraud detector?			Sì, è possibile rivedere le valutazioni di frodi passate per effettuare auditing sulla logica di decisione tramite la console di Amazon Fraud Detector. Nella console di Amazon Fraud Detector, è possibile cercare gli eventi passati sulla base delle caratteristiche dell'evento e/o della logica di rilevamento applicata, come il risultato, i modelli o le regole usate, o persino i metadati. Poi si procederà ad eseguire il drill-down per scoprire come una logica di rilevamento ha valutato un evento.											
Amazon fraud detector condivide i miei dati di rischio e le mie decisioni di rischio con altre imprese?			No. La sicurezza e la privacy sono le nostre principali preoccupazioni. È un principio fondamentale per l'acquisizione della fiducia del cliente: AWS non condividerà mai i dati del cliente.											
Cos'è amazon kendra?				"Amazon Kendra è un servizio aziendale di ricerca estremamente accurato e facile da utilizzare, basato sul machine learning (ML). Kendra permette agli sviluppatori di aggiungere funzionalità di ricerca alle loro applicazioni, in modo che i loro utenti finali possano scoprire le informazioni archiviate all'interno della grande quantità di contenuti sparsi nella loro azienda. Tali dati provengono da manuali, report di ricerca, domande frequenti, documentazione delle risorse umane (HR) e guide al servizio clienti, che si possono trovare in diversi sistemi come Amazon Simple Storage Service (S3), Microsoft SharePoint, Salesforce, ServiceNow, database di RDS o Microsoft OneDrive. Quando si digita una domanda, il servizio utilizza algoritmi di ML per comprendere il contesto e restituire i risultati più pertinenti, che si tratti di una risposta precisa o di un intero documento. Ad esempio, puoi porre una domanda del tipo ""Quanto è la ricompensa in contanti sulla carta di credito aziendale?"" e Amazon Kendra mapperà i documenti pertinenti e restituirà una risposta specifica (come ""2%""). Kendra fornisce un codice di esempio in modo da poter iniziare rapidamente e integrare facilmente una ricerca estremamente accurata nelle applicazioni nuove o esistenti."										
In che modo amazon kendra si integra con altri servizi aws?				Amazon Kendra offre funzionalità di ricerca basate su ML per tutti i dati non strutturati che archivi in AWS. Amazon Kendra offre connettori nativi facili da utilizzare ai più diffusi tipi di repository AWS popolari come database Amazon S3 e Amazon RDS. Altri servizi di intelligenza artificiale come Amazon Comprehend, Amazon Transcribe e Amazon Comprehend Medical possono essere utilizzati per pre-elaborare documenti, generare testo ricercabile, estrarre entità e arricchire metadati per esperienze di ricerca più specializzate.										
Quali tipi di domande posso porre ad amazon kendra?														
Cosa succede se i miei dati non contengono la risposta precisa che amazon kendra sta cercando?				Quando i tuoi dati non contengono una risposta precisa a una domanda, Amazon Kendra restituisce un elenco dei documenti più rilevanti classificati in base ai suoi modelli di deep learning.										
A quali tipi di domande amazon kendra non sarà in grado di rispondere?				Amazon Kendra non supporta ancora domande per le quali le risposte richiedono aggregazioni o calcoli tra passaggi di vari documenti.										
Come posso iniziare a lavorare con amazon kendra?				"La console di Amazon Kendra offre il modo più semplice per iniziare. Puoi indicare ad Amazon Kendra documenti non strutturati e semi-strutturati, come le domande frequenti archiviate in Amazon S3. Dopo l'inserimento, puoi iniziare a testare Kendra digitando le query direttamente nella sezione ""cerca"" della console. In seguito puoi implementare la ricerca di Amazon Kendra in due semplici modalità: (1) tramite l'editor grafico dell'IU nell'Experience Builder (non occorre alcun codice) oppure (2) implementando l'API di Amazon Kendra tramite qualche riga di codice per avere un controllo più accurato. Nella console sono presenti anche codici di esempio per velocizzare l'implementazione della API."										
Come posso personalizzare amazon kendra per adattarlo meglio al settore della mia azienda o all'attività aziendale?				Amazon Kendra offre competenze specifiche per settori quali: IT, farmaceutico, assicurativo, energetico, industriale, servizi finanziari, giuridico, media e intrattenimento, turistico e alberghiero, sanitario, risorse umane, notizie, telecomunicazioni e automobilistico. Puoi perfezionare ulteriormente ed estendere la comprensione specifica del dominio di Kendra fornendo i tuoi elenchi di sinonimi. Devi solo caricare un file con la tua terminologia specifica e Amazon Kendra utilizzerà questi sinonimi per arricchire le ricerche degli utenti.										
Quali tipi di file supporta amazon kendra?				Amazon Kendra supporta dati non strutturati e semi-strutturati in formato .html, MS Office (.doc, .ppt), PDF e testo. Con la soluzione MediaSearch, puoi anche usare Amazon Kendra per cercare file audio e video.										
In che modo amazon kendra gestisce gli aggiornamenti incrementali dei dati?				Amazon Kendra fornisce due metodi per mantenere aggiornato il tuo indice. Innanzitutto, i connettori forniscono la pianificazione per sincronizzare le origini dati automaticamente e in modo regolare. In secondo luogo, l'API di Amazon Kendra ti permette di creare il tuo connettore per inviare i dati direttamente ad Amazon Kendra dall'origine dati tramite i tuoi lavori ETL o applicazioni esistenti.										
Quali lingue supporta amazon kendra?				Per informazioni sul supporto linguistico, consulta la pagina della documentazione.										
Quali modifiche al codice sono necessarie per utilizzare amazon kendra?				L'inserimento di contenuti non richiede la codifica quando si utilizzano i connettori nativi. Puoi anche scrivere i tuoi connettori personalizzati per integrarli con altre origini dati, usando il kit SDK di Amazon Kendra. In seguito puoi implementare la ricerca di Amazon Kendra in due semplici modalità: (1) tramite l'editor grafico dell'IU nell'Experience Builder (nessun codice richiesto) oppure (2) implementando l'API di Kendra tramite qualche riga di codice per avere maggiore flessibilità. Nella console sono presenti anche codici di esempio per velocizzare l'implementazione della API. Il kit SDK offre pieno controllo e flessibilità dell'esperienza dell'utente finale.										
In quali regioni è disponibile amazon kendra?				Consulta la pagina sui Servizi AWS per regione per maggiori dettagli.										
Posso aggiungere connettori personalizzati?				Puoi scrivere i tuoi connettori tramite l'API Amazon Kendra Custom Data Source. Inoltre Amazon Kendra ha un ecosistema di partner esperti nella ricerca che può aiutare a costruire connettori attualmente non disponibili in AWS. Per maggiori dettagli sulla nostra rete di partner, contattaci.										
In che modo amazon kendra gestisce la sicurezza?				Amazon Kendra crittografa i tuoi dati in transito e inattivi. Sono disponibili tre opzioni per le chiavi di crittografia per i dati a riposo: chiave master KMS di proprietà AWS, KMS gestito da AWS nel proprio account oppure una chiave KMS gestita dal cliente. Per i dati in transito, Amazon Kendra utilizza il protocollo HTTPS per comunicare con l'applicazione client. Le chiamate API per accedere ad Amazon Kendra attraverso la rete utilizzano il protocollo Transport Layer Security (TLS) che deve essere supportato dal client.										
Amazon kendra può trovare risposte dal contenuto delle registrazioni audio e video?				Sì, la soluzione MediaSearch  combina Amazon Kendra con Amazon Transcribe e abilita gli utenti a cercare risposte pertinenti incorporate nei contenuti audio e video.										
